# BLOCK:        DISTANCE:        ACTUAL_GOFR:
           8    0.923387    0.163904
           8    0.949037    0.594687
           8    0.974686     1.19301
           8     1.00034     1.86648
           8     1.02599     2.41314
           8     1.05164     2.56283
           8     1.07728     2.58339
           8     1.10293     2.45284
           8     1.12858     2.19716
           8     1.15423     1.96569
           8     1.17988     1.75891
           8     1.20553     1.50276
           8     1.23118     1.28497
           8     1.25683     1.14894
           8     1.28248     1.10113
           8     1.30813     1.02442
           8     1.33378    0.952617
           8     1.35943    0.883149
           8     1.38508    0.824505
           8     1.41073    0.782924
           8     1.43638     0.77599
           8     1.46203    0.721286
           8     1.48768    0.714142
           8     1.51333    0.677806
           8     1.53898     0.65223
           8     1.56463     0.66796
           8     1.59028    0.702045
           8     1.61593    0.686889
           8     1.64158    0.708695
           8     1.66723    0.748857
           8     1.69288    0.797199
           8     1.71853    0.780821
           8     1.74418    0.812301
           8     1.76983    0.832856
           8     1.79547    0.872934
           8     1.82112    0.920858
           8     1.84677    0.964692
           8     1.87242     1.02371
           8     1.89807     1.05016
           8     1.92372     1.10898
           8     1.94937     1.09588
           8     1.97502     1.12898
           8     2.00067     1.16208
           8     2.02632     1.19236
           8     2.05197      1.2041
           8     2.07762     1.24607
           8     2.10327     1.22452
           8     2.12892     1.22696
           8     2.15457     1.17921
           8     2.18022     1.16297
           8     2.20587      1.1237
           8     2.23152      1.1185
           8     2.25717      1.0616
           8     2.28282     1.04546
           8     2.30847     1.02601
           8     2.33412      1.0087
           8     2.35977    0.955704
           8     2.38542    0.936295
           8     2.41107    0.938922
           8     2.43672    0.899201
           8     2.46237    0.892418
           8     2.48802    0.883427
           8     2.51366    0.895373
           8     2.53931    0.884203

           9           0           0
           9   0.0256496           0
           9   0.0512993           0
           9   0.0769489           0
           9    0.102599           0
           9    0.128248           0
           9    0.153898           0
           9    0.179547           0
           9    0.205197           0
           9    0.230847           0
           9    0.256496           0
           9    0.282146           0
           9    0.307796           0
           9    0.333445           0
           9    0.359095           0
           9    0.384745           0
           9    0.410394           0
           9    0.436044           0
           9    0.461694           0
           9    0.487343           0
           9    0.512993           0
           9    0.538642           0
           9    0.564292           0
           9    0.589942           0
           9    0.615591           0
           9    0.641241           0
           9    0.666891           0
           9     0.69254           0
           9     0.71819           0
           9     0.74384           0
           9    0.769489           0
           9    0.795139           0
           9    0.820788           0
           9    0.846438           0
           9    0.872088 0.000229263
           9    0.897737   0.0250741
           9    0.923387    0.171236
           9    0.949037     0.59523
           9    0.974686     1.19839
           9     1.00034     1.80145
           9     1.02599     2.36146
           9     1.05164     2.49146
           9     1.07728     2.55242
           9     1.10293     2.41906
           9     1.12858      2.1793
           9     1.15423      2.0035
           9     1.17988     1.78271
           9     1.20553     1.56817
