#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           750       10.0953       11.4335       1.31725
           751       10.0953       11.0344       1.30422
           752       10.0953       10.7376      0.902138
           753       10.0953       10.6922      0.891323
           754       10.0953       10.7337      0.915723
           755       10.0953       11.0195      0.960002
           756       10.0953       10.7119      0.753574
           757       10.0953        11.201       1.07396
           758       10.0953       11.4574       1.26078
           759       10.0953       11.1645       1.17802
           760       10.0953       11.1778       1.25706
           761       10.0953       11.7535       1.43534
           762       10.0953        11.814       1.33426
           763       10.0953       11.1716       1.01374
           764       10.0953       10.9965      0.946165
           765       10.0953       10.6833      0.822627
           766       10.0953       10.9637       1.10574
           767       10.0953       11.0775       1.15374
           768       10.0953       10.9788       1.12837
           769       10.0953       10.6804      0.836872
           770       10.0953       10.8505      0.996505
           771       10.0953       10.6551      0.745365
           772       10.0953       10.4229      0.569699
           773       10.0953       10.7565      0.877523
